Municipality,Readiness_Index,Shelters,Hospitals,Community Centers,Schools,Government Buildings,Transportation Hubs
Hormigueros,0.6021176699785701,1.0,0.13559322033898305,0.6440677966101696,0.9827586206896551,0.5666666666666667,0.16666666666666666
Humacao,0.33935904928891486,0.4745762711864407,0.11864406779661017,0.3898305084745763,0.6551724137931035,0.016666666666666666,0.4166666666666667
Isabela,0.5124157412819014,1.0,0.03389830508474577,0.8983050847457628,0.2586206896551724,0.3,0.13333333333333333
Jayuya,0.41376582894993175,1.0,0.06779661016949153,0.1864406779661017,0.15517241379310343,0.3,0.23333333333333334
Juana Díaz,0.5092100136372492,1.0,0.15254237288135591,0.4067796610169491,0.5172413793103449,0.55,0.03333333333333333
Juncos,0.24904928891486458,0.4406779661016949,0.05084745762711865,0.423728813559322,0.1724137931034483,0.2,0.03333333333333333
Lajas,0.4470027274498344,0.9830508474576272,0.01694915254237288,0.5423728813559322,0.44827586206896547,0.2,0.016666666666666666
Lares,0.34568673290473406,0.7966101694915255,0.1016949152542373,0.30508474576271183,0.15517241379310343,0.16666666666666666,0.03333333333333333
Las Marías,0.22066432885252285,0.4915254237288135,0.15254237288135591,0.01694915254237288,0.2586206896551724,0.05,0.016666666666666666
Las Piedras,0.2826553672316385,0.11864406779661017,0.3220338983050847,0.288135593220339,1.0,0.2,0.03333333333333333
Loíza,0.446239041496201,0.6271186440677966,0.0,1.0,0.43103448275862066,0.016666666666666666,0.6333333333333333
Luquillo,0.4835456847847262,1.0,0.2711864406779661,0.288135593220339,0.2586206896551724,0.11666666666666667,0.35
Manatí,0.2896610169491526,0.15254237288135591,0.22033898305084745,0.5254237288135594,1.0,0.08333333333333333,0.016666666666666666
Maricao,0.16288233002142996,0.3389830508474576,0.0,0.11864406779661017,0.017241379310344827,0.08333333333333333,0.3333333333333333
Maunabo,0.19652932008571986,0.423728813559322,0.0,0.3389830508474576,0.06896551724137931,0.1,0.016666666666666666
Mayagüez,0.42257062146892654,0.05084745762711865,0.3559322033898305,1.0,1.0,0.4166666666666667,0.26666666666666666
Moca,0.3478794077537502,0.7627118644067797,0.0,0.3389830508474576,0.46551724137931033,0.2,0.016666666666666666
Morovis,0.2635739333722969,0.6949152542372882,0.01694915254237288,0.0,0.2586206896551724,0.18333333333333332,0.06666666666666667
Naguabo,0.3637142022209234,1.0,0.01694915254237288,0.13559322033898305,0.24137931034482757,0.13333333333333333,0.016666666666666666
Naranjito,0.3318692772257939,0.6271186440677966,0.13559322033898305,0.15254237288135591,0.08620689655172413,0.4166666666666667,0.36666666666666664
Orocovis,0.21509740892265733,0.22033898305084745,0.08474576271186442,0.4915254237288135,0.22413793103448276,0.26666666666666666,0.05
Patillas,0.5280157802454706,1.0,0.05084745762711865,0.9491525423728814,0.3793103448275862,0.2833333333333333,0.06666666666666667
Peñuelas,0.3062000779271381,0.23728813559322032,0.3220338983050847,0.8135593220338984,0.24137931034482757,0.016666666666666666,0.06666666666666667
Ponce,0.4685593220338983,0.15254237288135591,0.2711864406779661,1.0,1.0,1.0,0.05
Quebradillas,0.4848655756867329,1.0,0.1016949152542373,0.9491525423728814,0.1206896551724138,0.016666666666666666,0.03333333333333333
